id,name,type,sex,year,genre,thema,herkunft
tp,Tukan-Preis,2,NA,NA,NA,NA,NA
trp,Toni-Russ-Preis,2,NA,NA,NA,NA,NA
erau,Ernst Augustin,4,2,NA,NA,NA,Muenchen
robinsons,Robinsons blaues Haus,3,NA,2012,Science-Fiction,Freiheit/ Luxus,NA
ttp,Thaddaeus-Troll-Preis,2,NA,NA,NA,NA,NA
wohe,Wolfgang Herrndorf,4,2,NA,NA,NA,Berlin
sand,Sand,3,NA,2012,Abenteuerroman/Parodie,Zufall/Identität,NA
tvp,Thomas-Valentin-Literaturpreis,2,,,,,NA
indigo,Indigo,3,NA,2012,Science-Fiction,Moral/ Krankheit,NA
fliehkraefte,Fliehkraefte,3,NA,2012,Entwicklungsroman,Glück,NA
weisses,Nichts Weißes,3,NA,2012,Entwicklungsroman,Globalisierung,NA
ulzi,Ulf Erdmann Ziegler,4,2,NA,NA,NA,Berlin
kaha,Katharina Hacker,4,1,NA,NA,NA,Berlin
habenichtse,Die Habenichtse,3,NA,2006,Gesellschaftsroman,Selbstfindung,NA
worauswir,Woraus wir gemacht sind,3,NA,2006,Thriller,NA,NA
insc,Ingo Schulze,4,2,NA,NA,NA,Berlin
neueleben,Neue Leben,3,NA,2006,Historischer Roman,Wende,NA
twp,Theodor-Wolff-Preis,2,NA,NA,NA,NA,NA
ujp,Uwe-Johnson-Preis,2,NA,NA,NA,NA,NA
grammofon,Wie der Soldat das Grammofon repariert,3,NA,NA,Familienroman,Migration,NA
iltr,Ilija Trojanow,4,2,NA,NA,NA,Sofia
weltensammler,Der Weltensammler,3,NA,2006,Abenteuerroman ,NA,NA
mawa,Martin Walser,4,2,NA,NA,NA,Bodensee
angstbluete,Angstblüte,3,NA,2006,NA,NA,NA
up,Usedomer Literaturpreis,2,NA,NA,NA,NA,NA
upks,Übersetzerpreis der Kunststiftung NRW,2,NA,NA,NA,NA,NA
verdip,Ver.di-Literaturpreis Berlin-Brandenburg,2,NA,NA,NA,NA,NA
vms,Villa-Massimo-Stipendium,2,NA,NA,NA,NA,NA
vost,Vorarlberger Literaturstipendium,2,NA,NA,NA,NA,NA
wbp,Walter-Bauer-Preis,2,NA,NA,NA,NA,NA
jufr,Julia Franck,4,1,NA,NA,NA,Ost-Berlin
mittagsfrau,Die Mittagsfrau,3,NA,2007,Familienroman,Weltkrieg,NA
wcvs,Werkbeitrag der Cassinelli-Vogel-Stiftung,2,NA,NA,NA,NA,NA
webp,Werner-Bergengruen-Preis,2,NA,NA,NA,NA,NA
thgl,Thomas Glavinic,4,2,NA,NA,NA,Wien
dasbindochich,Das bin doch ich,3,NA,2007,Gesellschaftsroman,NA,NA
wep,WELT-Literaturpreis,2,NA,NA,NA,NA,NA
wepr,Wolfram-von-Eschenbach-Preis,2,NA,NA,NA,NA,NA
whlp,Weilheimer Literaturpreis,2,NA,NA,NA,NA,NA
whm,Wilhelm-Heinse-Medaille,2,NA,NA,NA,NA,NA
